,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,24.6497264848339,24.6497264848339,0,NaN,NaN,NaN,0,60,
,A02,SYBR,,Unkn,,,22.4187908712928,22.4187908712928,0,NaN,NaN,NaN,0,60,
,A03,SYBR,,Unkn,,,19.6362234211683,19.6362234211683,0,NaN,NaN,NaN,0,60,
,A04,SYBR,,Unkn,,,29.4592194991918,29.4592194991918,0,NaN,NaN,NaN,0,60,
,A05,SYBR,,Unkn,,,26.842063101483,26.842063101483,0,NaN,NaN,NaN,0,60,
,A06,SYBR,,Unkn,,,27.1902257394608,27.1902257394608,0,NaN,NaN,NaN,0,60,
,A07,SYBR,,Unkn,,,27.3165631894612,27.3165631894612,0,NaN,NaN,NaN,0,60,
,A08,SYBR,,Unkn,,,27.7049248971986,27.7049248971986,0,NaN,NaN,NaN,0,60,
,A09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A10,SYBR,,Unkn,,,31.4320292890104,31.4320292890104,0,NaN,NaN,NaN,0,60,
,A11,SYBR,,Unkn,,,33.5430328937867,33.5430328937867,0,NaN,NaN,NaN,0,60,
,A12,SYBR,,Unkn,,,36.3487625467861,36.3487625467861,0,NaN,NaN,NaN,0,60,
,B01,SYBR,,Unkn,,,26.422316058323,26.422316058323,0,NaN,NaN,NaN,0,60,
,B02,SYBR,,Unkn,,,34.1914344200897,34.1914344200897,0,NaN,NaN,NaN,0,60,
,B03,SYBR,,Unkn,,,21.6056033849322,21.6056033849322,0,NaN,NaN,NaN,0,60,
,B04,SYBR,,Unkn,,,28.047042637607,28.047042637607,0,NaN,NaN,NaN,0,60,
,B05,SYBR,,Unkn,,,36.5394497308702,36.5394497308702,0,NaN,NaN,NaN,0,60,
,B06,SYBR,,Unkn,,,32.2184338931768,32.2184338931768,0,NaN,NaN,NaN,0,60,
,B07,SYBR,,Unkn,,,25.5927808889873,25.5927808889873,0,NaN,NaN,NaN,0,60,
,B08,SYBR,,Unkn,,,33.397778233051,33.397778233051,0,NaN,NaN,NaN,0,60,
,B09,SYBR,,Unkn,,,35.2200394888143,35.2200394888143,0,NaN,NaN,NaN,0,60,
,B10,SYBR,,Unkn,,,31.5488967626142,31.5488967626142,0,NaN,NaN,NaN,0,60,
,B11,SYBR,,Unkn,,,25.8041845237102,25.8041845237102,0,NaN,NaN,NaN,0,60,
,B12,SYBR,,Unkn,,,27.4695545866443,27.4695545866443,0,NaN,NaN,NaN,0,60,
,C01,SYBR,,Unkn,,,24.1869259879433,24.1869259879433,0,NaN,NaN,NaN,0,60,
,C02,SYBR,,Unkn,,,22.1411392191389,22.1411392191389,0,NaN,NaN,NaN,0,60,
,C03,SYBR,,Unkn,,,19.3067920077879,19.3067920077879,0,NaN,NaN,NaN,0,60,
,C04,SYBR,,Unkn,,,29.0557852160286,29.0557852160286,0,NaN,NaN,NaN,0,60,
,C05,SYBR,,Unkn,,,26.4789237036563,26.4789237036563,0,NaN,NaN,NaN,0,60,
,C06,SYBR,,Unkn,,,26.9494195027099,26.9494195027099,0,NaN,NaN,NaN,0,60,
,C07,SYBR,,Unkn,,,26.8986664812783,26.8986664812783,0,NaN,NaN,NaN,0,60,
,C08,SYBR,,Unkn,,,27.0659793694343,27.0659793694343,0,NaN,NaN,NaN,0,60,
,C09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C10,SYBR,,Unkn,,,31.5493549398824,31.5493549398824,0,NaN,NaN,NaN,0,60,
,C11,SYBR,,Unkn,,,33.1384194132931,33.1384194132931,0,NaN,NaN,NaN,0,60,
,C12,SYBR,,Unkn,,,35.4715192927415,35.4715192927415,0,NaN,NaN,NaN,0,60,
,D01,SYBR,,Unkn,,,26.0464367520597,26.0464367520597,0,NaN,NaN,NaN,0,60,
,D02,SYBR,,Unkn,,,33.4181219668789,33.4181219668789,0,NaN,NaN,NaN,0,60,
,D03,SYBR,,Unkn,,,21.5599143374601,21.5599143374601,0,NaN,NaN,NaN,0,60,
,D04,SYBR,,Unkn,,,27.7791904821877,27.7791904821877,0,NaN,NaN,NaN,0,60,
,D05,SYBR,,Unkn,,,36.2439705296817,36.2439705296817,0,NaN,NaN,NaN,0,60,
,D06,SYBR,,Unkn,,,31.5989919908118,31.5989919908118,0,NaN,NaN,NaN,0,60,
,D07,SYBR,,Unkn,,,25.2307130070441,25.2307130070441,0,NaN,NaN,NaN,0,60,
,D08,SYBR,,Unkn,,,33.5783988991985,33.5783988991985,0,NaN,NaN,NaN,0,60,
,D09,SYBR,,Unkn,,,35.5960524227347,35.5960524227347,0,NaN,NaN,NaN,0,60,
,D10,SYBR,,Unkn,,,31.3728491141612,31.3728491141612,0,NaN,NaN,NaN,0,60,
,D11,SYBR,,Unkn,,,25.6179300926189,25.6179300926189,0,NaN,NaN,NaN,0,60,
,D12,SYBR,,Unkn,,,27.6044624665334,27.6044624665334,0,NaN,NaN,NaN,0,60,
,E01,SYBR,,Unkn,,,25.021431985862,25.021431985862,0,NaN,NaN,NaN,0,60,
,E02,SYBR,,Unkn,,,22.8105859264651,22.8105859264651,0,NaN,NaN,NaN,0,60,
,E03,SYBR,,Unkn,,,19.9315722989998,19.9315722989998,0,NaN,NaN,NaN,0,60,
,E04,SYBR,,Unkn,,,30.5472483358484,30.5472483358484,0,NaN,NaN,NaN,0,60,
,E05,SYBR,,Unkn,,,26.8042767354488,26.8042767354488,0,NaN,NaN,NaN,0,60,
,E06,SYBR,,Unkn,,,27.4022241406356,27.4022241406356,0,NaN,NaN,NaN,0,60,
,E07,SYBR,,Unkn,,,27.1861713802012,27.1861713802012,0,NaN,NaN,NaN,0,60,
,E08,SYBR,,Unkn,,,27.5803474511978,27.5803474511978,0,NaN,NaN,NaN,0,60,
,E09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E10,SYBR,,Unkn,,,30.0604839632757,30.0604839632757,0,NaN,NaN,NaN,0,60,
,E11,SYBR,,Unkn,,,35.2419458641628,35.2419458641628,0,NaN,NaN,NaN,0,60,
,E12,SYBR,,Unkn,,,35.4952420239414,35.4952420239414,0,NaN,NaN,NaN,0,60,
,F01,SYBR,,Unkn,,,26.570363578942,26.570363578942,0,NaN,NaN,NaN,0,60,
,F02,SYBR,,Unkn,,,33.1527589145169,33.1527589145169,0,NaN,NaN,NaN,0,60,
,F03,SYBR,,Unkn,,,21.5576645319793,21.5576645319793,0,NaN,NaN,NaN,0,60,
,F04,SYBR,,Unkn,,,28.5995875668,28.5995875668,0,NaN,NaN,NaN,0,60,
,F05,SYBR,,Unkn,,,33.6973738598444,33.6973738598444,0,NaN,NaN,NaN,0,60,
,F06,SYBR,,Unkn,,,35.0079318149241,35.0079318149241,0,NaN,NaN,NaN,0,60,
,F07,SYBR,,Unkn,,,25.3620575813634,25.3620575813634,0,NaN,NaN,NaN,0,60,
,F08,SYBR,,Unkn,,,32.6238771884985,32.6238771884985,0,NaN,NaN,NaN,0,60,
,F09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F10,SYBR,,Unkn,,,32.5367952226464,32.5367952226464,0,NaN,NaN,NaN,0,60,
,F11,SYBR,,Unkn,,,26.2562063327242,26.2562063327242,0,NaN,NaN,NaN,0,60,
,F12,SYBR,,Unkn,,,27.8853224007099,27.8853224007099,0,NaN,NaN,NaN,0,60,
,G01,SYBR,,Unkn,,,25.3304949805493,25.3304949805493,0,NaN,NaN,NaN,0,60,
,G02,SYBR,,Unkn,,,23.3415018434027,23.3415018434027,0,NaN,NaN,NaN,0,60,
,G03,SYBR,,Unkn,,,20.0990530215863,20.0990530215863,0,NaN,NaN,NaN,0,60,
,G04,SYBR,,Unkn,,,30.8209373497096,30.8209373497096,0,NaN,NaN,NaN,0,60,
,G05,SYBR,,Unkn,,,27.0403826864864,27.0403826864864,0,NaN,NaN,NaN,0,60,
,G06,SYBR,,Unkn,,,27.823226291041,27.823226291041,0,NaN,NaN,NaN,0,60,
,G07,SYBR,,Unkn,,,27.414064609049,27.414064609049,0,NaN,NaN,NaN,0,60,
,G08,SYBR,,Unkn,,,27.8152468965693,27.8152468965693,0,NaN,NaN,NaN,0,60,
,G09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G10,SYBR,,Unkn,,,30.0828241476531,30.0828241476531,0,NaN,NaN,NaN,0,60,
,G11,SYBR,,Unkn,,,35.8853167097155,35.8853167097155,0,NaN,NaN,NaN,0,60,
,G12,SYBR,,Unkn,,,34.9699977531897,34.9699977531897,0,NaN,NaN,NaN,0,60,
,H01,SYBR,,Unkn,,,26.9896161603241,26.9896161603241,0,NaN,NaN,NaN,0,60,
,H02,SYBR,,Unkn,,,33.9857991302927,33.9857991302927,0,NaN,NaN,NaN,0,60,
,H03,SYBR,,Unkn,,,21.907985802465,21.907985802465,0,NaN,NaN,NaN,0,60,
,H04,SYBR,,Unkn,,,28.8804434540889,28.8804434540889,0,NaN,NaN,NaN,0,60,
,H05,SYBR,,Unkn,,,33.6463267156646,33.6463267156646,0,NaN,NaN,NaN,0,60,
,H06,SYBR,,Unkn,,,35.5213278022265,35.5213278022265,0,NaN,NaN,NaN,0,60,
,H07,SYBR,,Unkn,,,25.7826720823944,25.7826720823944,0,NaN,NaN,NaN,0,60,
,H08,SYBR,,Unkn,,,33.2595357593555,33.2595357593555,0,NaN,NaN,NaN,0,60,
,H09,SYBR,,Unkn,,,39.7983029892582,39.7983029892582,0,NaN,NaN,NaN,0,60,
,H10,SYBR,,Unkn,,,33.6518898597959,33.6518898597959,0,NaN,NaN,NaN,0,60,
,H11,SYBR,,Unkn,,,26.9398092488905,26.9398092488905,0,NaN,NaN,NaN,0,60,
,H12,SYBR,,Unkn,,,28.2106886824384,28.2106886824384,0,NaN,NaN,NaN,0,60,
