,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,26.5638049535093,26.5638049535093,0,NaN,NaN,NaN,0,60,
,A02,SYBR,,Unkn,,,25.3163594114344,25.3163594114344,0,NaN,NaN,NaN,0,60,
,A03,SYBR,,Unkn,,,21.6614875819516,21.6614875819516,0,NaN,NaN,NaN,0,60,
,A04,SYBR,,Unkn,,,31.783811366681,31.783811366681,0,NaN,NaN,NaN,0,60,
,A05,SYBR,,Unkn,,,28.3405191242071,28.3405191242071,0,NaN,NaN,NaN,0,60,
,A06,SYBR,,Unkn,,,28.663584111158,28.663584111158,0,NaN,NaN,NaN,0,60,
,A07,SYBR,,Unkn,,,28.6032282122652,28.6032282122652,0,NaN,NaN,NaN,0,60,
,A08,SYBR,,Unkn,,,29.9610395274711,29.9610395274711,0,NaN,NaN,NaN,0,60,
,A09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A10,SYBR,,Unkn,,,36.1959435513875,36.1959435513875,0,NaN,NaN,NaN,0,60,
,A11,SYBR,,Unkn,,,34.9308889335799,34.9308889335799,0,NaN,NaN,NaN,0,60,
,A12,SYBR,,Unkn,,,38.5925371464632,38.5925371464632,0,NaN,NaN,NaN,0,60,
,B01,SYBR,,Unkn,,,28.20529063596,28.20529063596,0,NaN,NaN,NaN,0,60,
,B02,SYBR,,Unkn,,,33.3646613522473,33.3646613522473,0,NaN,NaN,NaN,0,60,
,B03,SYBR,,Unkn,,,22.3223826571748,22.3223826571748,0,NaN,NaN,NaN,0,60,
,B04,SYBR,,Unkn,,,30.8630299727149,30.8630299727149,0,NaN,NaN,NaN,0,60,
,B05,SYBR,,Unkn,,,37.7235547846259,37.7235547846259,0,NaN,NaN,NaN,0,60,
,B06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B07,SYBR,,Unkn,,,26.2494645049768,26.2494645049768,0,NaN,NaN,NaN,0,60,
,B08,SYBR,,Unkn,,,34.1941316498348,34.1941316498348,0,NaN,NaN,NaN,0,60,
,B09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B10,SYBR,,Unkn,,,29.787846217486,29.787846217486,0,NaN,NaN,NaN,0,60,
,B11,SYBR,,Unkn,,,26.5451380730293,26.5451380730293,0,NaN,NaN,NaN,0,60,
,B12,SYBR,,Unkn,,,27.3482475221881,27.3482475221881,0,NaN,NaN,NaN,0,60,
,C01,SYBR,,Unkn,,,26.4991718284496,26.4991718284496,0,NaN,NaN,NaN,0,60,
,C02,SYBR,,Unkn,,,25.0415638027869,25.0415638027869,0,NaN,NaN,NaN,0,60,
,C03,SYBR,,Unkn,,,21.011118038596,21.011118038596,0,NaN,NaN,NaN,0,60,
,C04,SYBR,,Unkn,,,31.3311260883456,31.3311260883456,0,NaN,NaN,NaN,0,60,
,C05,SYBR,,Unkn,,,28.194332510474,28.194332510474,0,NaN,NaN,NaN,0,60,
,C06,SYBR,,Unkn,,,28.4250630796531,28.4250630796531,0,NaN,NaN,NaN,0,60,
,C07,SYBR,,Unkn,,,28.3541080092276,28.3541080092276,0,NaN,NaN,NaN,0,60,
,C08,SYBR,,Unkn,,,29.0551453102213,29.0551453102213,0,NaN,NaN,NaN,0,60,
,C09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C10,SYBR,,Unkn,,,36.4178599185462,36.4178599185462,0,NaN,NaN,NaN,0,60,
,C11,SYBR,,Unkn,,,34.4672097370803,34.4672097370803,0,NaN,NaN,NaN,0,60,
,C12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D01,SYBR,,Unkn,,,27.8246552760208,27.8246552760208,0,NaN,NaN,NaN,0,60,
,D02,SYBR,,Unkn,,,33.3649602335299,33.3649602335299,0,NaN,NaN,NaN,0,60,
,D03,SYBR,,Unkn,,,22.2170782845393,22.2170782845393,0,NaN,NaN,NaN,0,60,
,D04,SYBR,,Unkn,,,30.5208690004741,30.5208690004741,0,NaN,NaN,NaN,0,60,
,D05,SYBR,,Unkn,,,42.2011493183935,42.2011493183935,0,NaN,NaN,NaN,0,60,
,D06,SYBR,,Unkn,,,39.662584688249,39.662584688249,0,NaN,NaN,NaN,0,60,
,D07,SYBR,,Unkn,,,26.1661040702813,26.1661040702813,0,NaN,NaN,NaN,0,60,
,D08,SYBR,,Unkn,,,34.4745548684199,34.4745548684199,0,NaN,NaN,NaN,0,60,
,D09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D10,SYBR,,Unkn,,,29.552675104539,29.552675104539,0,NaN,NaN,NaN,0,60,
,D11,SYBR,,Unkn,,,26.5444846843892,26.5444846843892,0,NaN,NaN,NaN,0,60,
,D12,SYBR,,Unkn,,,27.6470670035227,27.6470670035227,0,NaN,NaN,NaN,0,60,
,E01,SYBR,,Unkn,,,26.249804708602,26.249804708602,0,NaN,NaN,NaN,0,60,
,E02,SYBR,,Unkn,,,24.6864182959422,24.6864182959422,0,NaN,NaN,NaN,0,60,
,E03,SYBR,,Unkn,,,21.0793607286427,21.0793607286427,0,NaN,NaN,NaN,0,60,
,E04,SYBR,,Unkn,,,31.6139585618689,31.6139585618689,0,NaN,NaN,NaN,0,60,
,E05,SYBR,,Unkn,,,28.0519188143715,28.0519188143715,0,NaN,NaN,NaN,0,60,
