,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,25.0524286408147,25.0524286408147,0,NaN,NaN,NaN,0,60,
,A02,SYBR,,Unkn,,,23.0552207881372,23.0552207881372,0,NaN,NaN,NaN,0,60,
,A03,SYBR,,Unkn,,,20.2219607487631,20.2219607487631,0,NaN,NaN,NaN,0,60,
,A04,SYBR,,Unkn,,,30.0747107811792,30.0747107811792,0,NaN,NaN,NaN,0,60,
,A05,SYBR,,Unkn,,,27.0843267947111,27.0843267947111,0,NaN,NaN,NaN,0,60,
,A06,SYBR,,Unkn,,,27.2618105918103,27.2618105918103,0,NaN,NaN,NaN,0,60,
,A07,SYBR,,Unkn,,,27.5148101559379,27.5148101559379,0,NaN,NaN,NaN,0,60,
,A08,SYBR,,Unkn,,,28.1184179580067,28.1184179580067,0,NaN,NaN,NaN,0,60,
,A09,SYBR,,Unkn,,,36.8898771889638,36.8898771889638,0,NaN,NaN,NaN,0,60,
,A10,SYBR,,Unkn,,,31.6035663272272,31.6035663272272,0,NaN,NaN,NaN,0,60,
,A11,SYBR,,Unkn,,,34.2355396889132,34.2355396889132,0,NaN,NaN,NaN,0,60,
,A12,SYBR,,Unkn,,,34.2493739142765,34.2493739142765,0,NaN,NaN,NaN,0,60,
,B01,SYBR,,Unkn,,,26.4623417213482,26.4623417213482,0,NaN,NaN,NaN,0,60,
,B02,SYBR,,Unkn,,,35.2744707078199,35.2744707078199,0,NaN,NaN,NaN,0,60,
,B03,SYBR,,Unkn,,,21.5295618523958,21.5295618523958,0,NaN,NaN,NaN,0,60,
,B04,SYBR,,Unkn,,,28.6497832914529,28.6497832914529,0,NaN,NaN,NaN,0,60,
,B05,SYBR,,Unkn,,,34.5509758933605,34.5509758933605,0,NaN,NaN,NaN,0,60,
,B06,SYBR,,Unkn,,,32.289266348251,32.289266348251,0,NaN,NaN,NaN,0,60,
