,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Unkn,,,25.6555248715701,25.6555248715701,0,NaN,NaN,NaN,0,60,
,A02,FAM,,Unkn,,,25.6272076285817,25.6272076285817,0,NaN,NaN,NaN,0,60,
,A03,FAM,,Unkn,,,25.6984719009192,25.6984719009192,0,NaN,NaN,NaN,0,60,
,A04,FAM,,Unkn,,,25.5761611503682,25.5761611503682,0,NaN,NaN,NaN,0,60,
,A05,FAM,,Unkn,,,25.1262327539716,25.1262327539716,0,NaN,NaN,NaN,0,60,
,A06,FAM,,Unkn,,,24.9973765998315,24.9973765998315,0,NaN,NaN,NaN,0,60,
,A07,FAM,,Unkn,,,26.3680458700974,26.3680458700974,0,NaN,NaN,NaN,0,60,
,A08,FAM,,Unkn,,,25.7728711477972,25.7728711477972,0,NaN,NaN,NaN,0,60,
,A09,FAM,,Unkn,,,25.8661857715874,25.8661857715874,0,NaN,NaN,NaN,0,60,
,A10,FAM,,Unkn,,,24.6937312725725,24.6937312725725,0,NaN,NaN,NaN,0,60,
,A11,FAM,,Unkn,,,25.1517188772232,25.1517188772232,0,NaN,NaN,NaN,0,60,
,A12,FAM,,Unkn,,,25.39858419339,25.39858419339,0,NaN,NaN,NaN,0,60,
,B01,FAM,,Unkn,,,25.5889191569083,25.5889191569083,0,NaN,NaN,NaN,0,60,
,B02,FAM,,Unkn,,,25.5850174882081,25.5850174882081,0,NaN,NaN,NaN,0,60,
,B03,FAM,,Unkn,,,25.346704956971,25.346704956971,0,NaN,NaN,NaN,0,60,
,B04,FAM,,Unkn,,,25.576401200484,25.576401200484,0,NaN,NaN,NaN,0,60,
,B05,FAM,,Unkn,,,24.9595879844257,24.9595879844257,0,NaN,NaN,NaN,0,60,
,B06,FAM,,Unkn,,,24.6740484912431,24.6740484912431,0,NaN,NaN,NaN,0,60,
,B07,FAM,,Unkn,,,26.2226314080563,26.2226314080563,0,NaN,NaN,NaN,0,60,
,B08,FAM,,Unkn,,,25.4904916358279,25.4904916358279,0,NaN,NaN,NaN,0,60,
,B09,FAM,,Unkn,,,25.9394494504402,25.9394494504402,0,NaN,NaN,NaN,0,60,
,B10,FAM,,Unkn,,,24.7873946181445,24.7873946181445,0,NaN,NaN,NaN,0,60,
,B11,FAM,,Unkn,,,25.0453315318702,25.0453315318702,0,NaN,NaN,NaN,0,60,
,B12,FAM,,Unkn,,,25.3577907999366,25.3577907999366,0,NaN,NaN,NaN,0,60,
,C01,FAM,,Unkn,,,21.9762160144823,21.9762160144823,0,NaN,NaN,NaN,0,60,
,C02,FAM,,Unkn,,,22.3181194848797,22.3181194848797,0,NaN,NaN,NaN,0,60,
,C03,FAM,,Unkn,,,22.2003261819465,22.2003261819465,0,NaN,NaN,NaN,0,60,
,C04,FAM,,Unkn,,,21.9624241074402,21.9624241074402,0,NaN,NaN,NaN,0,60,
,C05,FAM,,Unkn,,,21.2572663489588,21.2572663489588,0,NaN,NaN,NaN,0,60,
,C06,FAM,,Unkn,,,21.212234306269,21.212234306269,0,NaN,NaN,NaN,0,60,
,C07,FAM,,Unkn,,,24.921556932201,24.921556932201,0,NaN,NaN,NaN,0,60,
,C08,FAM,,Unkn,,,24.1359831175915,24.1359831175915,0,NaN,NaN,NaN,0,60,
,C09,FAM,,Unkn,,,25.0277777631645,25.0277777631645,0,NaN,NaN,NaN,0,60,
,C10,FAM,,Unkn,,,24.0866712103758,24.0866712103758,0,NaN,NaN,NaN,0,60,
,C11,FAM,,Unkn,,,24.8868898434531,24.8868898434531,0,NaN,NaN,NaN,0,60,
,C12,FAM,,Unkn,,,23.7005535181752,23.7005535181752,0,NaN,NaN,NaN,0,60,
,D01,FAM,,Unkn,,,22.2592393463875,22.2592393463875,0,NaN,NaN,NaN,0,60,
,D02,FAM,,Unkn,,,22.3096804107967,22.3096804107967,0,NaN,NaN,NaN,0,60,
,D03,FAM,,Unkn,,,22.0630440114742,22.0630440114742,0,NaN,NaN,NaN,0,60,
,D04,FAM,,Unkn,,,21.6726234086199,21.6726234086199,0,NaN,NaN,NaN,0,60,
,D05,FAM,,Unkn,,,21.2388872942357,21.2388872942357,0,NaN,NaN,NaN,0,60,
,D06,FAM,,Unkn,,,21.1252022229132,21.1252022229132,0,NaN,NaN,NaN,0,60,
,D07,FAM,,Unkn,,,24.7520132407035,24.7520132407035,0,NaN,NaN,NaN,0,60,
,D08,FAM,,Unkn,,,24.2309711072539,24.2309711072539,0,NaN,NaN,NaN,0,60,
,D09,FAM,,Unkn,,,24.8751011832559,24.8751011832559,0,NaN,NaN,NaN,0,60,
,D10,FAM,,Unkn,,,23.78011823498,23.78011823498,0,NaN,NaN,NaN,0,60,
,D11,FAM,,Unkn,,,24.658385651565,24.658385651565,0,NaN,NaN,NaN,0,60,
,D12,FAM,,Unkn,,,24.1317598785595,24.1317598785595,0,NaN,NaN,NaN,0,60,
,E01,FAM,,Unkn,,,32.4517648961704,32.4517648961704,0,NaN,NaN,NaN,0,60,
,E02,FAM,,Unkn,,,34.8229028659914,34.8229028659914,0,NaN,NaN,NaN,0,60,
,E03,FAM,,Unkn,,,36.1729542420837,36.1729542420837,0,NaN,NaN,NaN,0,60,
,E04,FAM,,Unkn,,,32.4900717770853,32.4900717770853,0,NaN,NaN,NaN,0,60,
,E05,FAM,,Unkn,,,30.4761159965744,30.4761159965744,0,NaN,NaN,NaN,0,60,
,E06,FAM,,Unkn,,,31.556402894963,31.556402894963,0,NaN,NaN,NaN,0,60,
,E07,FAM,,Unkn,,,34.4536922368281,34.4536922368281,0,NaN,NaN,NaN,0,60,
,E08,FAM,,Unkn,,,32.2303496239918,32.2303496239918,0,NaN,NaN,NaN,0,60,
,E09,FAM,,Unkn,,,32.7027086512977,32.7027086512977,0,NaN,NaN,NaN,0,60,
,E10,FAM,,Unkn,,,27.7663054724045,27.7663054724045,0,NaN,NaN,NaN,0,60,
,E11,FAM,,Unkn,,,29.1243891640509,29.1243891640509,0,NaN,NaN,NaN,0,60,
,E12,FAM,,Unkn,,,29.2746852556344,29.2746852556344,0,NaN,NaN,NaN,0,60,
,F01,FAM,,Unkn,,,32.4420198355517,32.4420198355517,0,NaN,NaN,NaN,0,60,
,F02,FAM,,Unkn,,,35.4224172481278,35.4224172481278,0,NaN,NaN,NaN,0,60,
,F03,FAM,,Unkn,,,36.4953015034218,36.4953015034218,0,NaN,NaN,NaN,0,60,
,F04,FAM,,Unkn,,,32.3294293308057,32.3294293308057,0,NaN,NaN,NaN,0,60,
,F05,FAM,,Unkn,,,31.1350523249904,31.1350523249904,0,NaN,NaN,NaN,0,60,
,F06,FAM,,Unkn,,,32.2261592616932,32.2261592616932,0,NaN,NaN,NaN,0,60,
,F07,FAM,,Unkn,,,34.6807366311161,34.6807366311161,0,NaN,NaN,NaN,0,60,
,F08,FAM,,Unkn,,,32.4110056158765,32.4110056158765,0,NaN,NaN,NaN,0,60,
,F09,FAM,,Unkn,,,33.11285000019,33.11285000019,0,NaN,NaN,NaN,0,60,
,F10,FAM,,Unkn,,,28.0471207881673,28.0471207881673,0,NaN,NaN,NaN,0,60,
,F11,FAM,,Unkn,,,29.3062320063758,29.3062320063758,0,NaN,NaN,NaN,0,60,
,F12,FAM,,Unkn,,,29.5643740451329,29.5643740451329,0,NaN,NaN,NaN,0,60,
,G01,FAM,,Unkn,,,31.8031567110255,31.8031567110255,0,NaN,NaN,NaN,0,60,
,G02,FAM,,Unkn,,,32.4076144582724,32.4076144582724,0,NaN,NaN,NaN,0,60,
,G03,FAM,,Unkn,,,33.0286214893011,33.0286214893011,0,NaN,NaN,NaN,0,60,
,G04,FAM,,Unkn,,,33.1001858123352,33.1001858123352,0,NaN,NaN,NaN,0,60,
,G05,FAM,,Unkn,,,32.8550307034621,32.8550307034621,0,NaN,NaN,NaN,0,60,
,G06,FAM,,Unkn,,,32.4114923494694,32.4114923494694,0,NaN,NaN,NaN,0,60,
,G07,FAM,,Unkn,,,35.9217503339378,35.9217503339378,0,NaN,NaN,NaN,0,60,
,G08,FAM,,Unkn,,,34.1662958931299,34.1662958931299,0,NaN,NaN,NaN,0,60,
,G09,FAM,,Unkn,,,34.2746206205034,34.2746206205034,0,NaN,NaN,NaN,0,60,
,G10,FAM,,Unkn,,,32.5648769259457,32.5648769259457,0,NaN,NaN,NaN,0,60,
